Year,HYTCP,WYTCP,SOEGP,NUETP,GDP
1960,3611.0,0.0,0.0,0.0,
1961,3238.0,0.0,0.0,0.0,
1962,3067.0,0.0,0.0,0.0,
1963,2674.0,0.0,0.0,0.0,5057.0
1964,4355.0,39.0,0.0,0.0,5544.0
1965,3517.0,75.0,0.0,0.0,6211.0
1966,2611.0,73.0,0.0,0.0,6941.0
1967,2654.0,8.0,0.0,0.0,7381.0
1968,2702.0,0.0,0.0,0.0,8170.0
1969,3089.0,0.0,0.0,0.0,8874.0
1970,2293.0,7.0,0.0,0.0,9556.0
1971,3485.0,2414.0,0.0,0.0,10551.0
1972,3347.0,4829.0,0.0,0.0,11897.0
1973,3908.0,6166.0,0.0,0.0,13761.0
1974,3455.0,11057.0,0.0,0.0,15312.0
1975,4413.0,19458.0,0.0,0.0,16030.0
1976,3414.0,17850.0,0.0,0.0,18177.0
1977,3050.0,17239.0,0.0,0.0,20103.0
1978,3207.0,19457.0,0.0,0.0,22976.0
1979,3959.0,18220.0,0.0,0.0,25507.0
1980,3025.0,17404.0,0.0,0.0,27607.0
1981,1257.0,17327.0,0.0,0.0,31048.0
1982,2429.0,13156.0,0.0,0.0,32353.0
1983,3098.0,25581.0,0.0,0.0,35850.0
1984,3177.0,23235.0,0.0,0.0,41203.0
1985,1835.0,31826.0,0.0,0.0,43988.0
1986,1266.0,35625.0,0.0,0.0,47748.0
1987,2209.0,39290.0,0.0,0.0,52688.0
1988,680.0,40746.0,0.0,0.0,57329.0
1989,2041.0,40780.0,0.0,0.0,61347.0
1990,3298.0,42881.0,0.0,0.0,65157.0
1991,3111.0,43108.0,0.0,0.0,68000.0
1992,3310.0,45537.0,0.0,0.0,71848.0
1993,2950.0,46189.0,0.0,0.0,76158.0
1994,3035.0,44466.0,0.0,0.0,82062.0
1995,3457.0,49173.0,0.0,0.0,87248.0
1996,3041.0,43571.0,0.0,0.0,90755.0
1997,2958.0,44916.0,0.0,0.0,96465.0
1998,3569.0,48759.0,0.0,0.0,104039.0
1999,1687.0,50814.0,0.0,0.0,110707.0
2000,1533.0,50888.0,0.0,0.0,115809.0
2001,1225.0,49870.0,0.0,0.0,120008.0
2002,1390.0,53326.0,0.0,0.0,124902.0
2003,3665.0,50418.0,0.0,0.0,131519.0
2004,2447.0,51201.0,0.0,0.0,136369.0
2005,2938.0,53138.0,0.0,0.0,143585.0
2006,1807.0,50797.0,0.0,0.0,151084.0
2007,1556.0,53200.0,0.0,0.0,160145.0
2008,1123.0,51763.0,0.0,0.0,162266.0
2009,2332.0,52150.0,0.0,0.0,160439.0
2010,2376.0,51988.0,0.0,0.0,164106.0
2011,1554.0,52903.0,0.0,0.0,170193.0
2012,1420.0,51145.0,0.0,0.0,174567.0
2013,3160.0,54252.0,0.0,0.0,181374.0
2014,2569.0,52419.0,5.0,0.0,190773.0
2015,,,,,201005.0
